Time (S)	Lockin (mV)	Temp (V)
2.35	6.396484	1.019287
3.88	7.478927	1.009200
5.41	7.401316	1.009766
6.93	7.313939	1.010729
8.45	7.226562	1.011783
9.97	7.147924	1.012323
11.49	7.077508	1.012580
13.01	6.935136	1.013620
14.53	6.630859	1.015676
16.05	6.510074	1.016152
17.57	6.596423	1.016910
19.09	6.463302	1.017475
20.61	6.402138	1.018876
22.13	6.283409	1.020032
23.66	6.208882	1.020611
25.19	6.119449	1.021497
26.71	6.010485	1.022731
28.23	5.902489	1.023975
29.76	5.809005	1.024324
31.28	5.733669	1.025352
32.81	5.647615	1.025609
34.34	5.556641	1.027202
35.86	5.481736	1.027598
37.39	5.414268	1.028269
38.91	5.313528	1.029657
40.44	5.221012	1.030492
41.96	5.108772	1.031027
43.49	5.045744	1.031700
45.02	4.964021	1.033807
46.54	4.914499	1.034910
48.07	4.836040	1.035850
49.59	4.718853	1.035259
51.12	4.653577	1.037752
52.65	4.544100	1.039589
54.18	4.447471	1.039666
55.71	4.247533	1.040553
57.23	4.130132	1.040520
58.75	4.212582	1.041889
60.28	4.137027	1.043727
61.81	3.998766	1.043251
63.34	3.946340	1.045307
64.87	3.900596	1.046772
66.39	3.826583	1.047273
67.92	3.772615	1.047980
69.45	3.683183	1.049715
70.98	3.590152	1.050229
72.50	3.491730	1.050480
74.03	3.456003	1.052195
75.55	3.376336	1.053325
77.08	3.302323	1.053942
78.61	3.201583	1.054842
80.14	3.111637	1.055857
81.66	3.100586	1.056765
83.19	2.893709	1.057823
84.71	2.945790	1.059090
86.23	2.835115	1.060560
87.76	2.779091	1.061061
89.29	2.570415	1.062384
90.82	2.494346	1.063104
92.35	2.524671	1.063823
93.87	2.580695	1.065083
95.40	2.469675	1.067023
96.93	2.506682	1.067229
98.46	2.481497	1.068205
99.99	2.516447	1.069182
101.51	2.335012	1.070081
103.04	2.081106	1.070826
104.57	2.246619	1.071830
106.09	2.233108	1.072946
107.62	2.187500	1.074065
109.15	2.127878	1.075658
110.67	2.097039	1.076673
112.20	2.024568	1.077238
113.73	2.000411	1.078498
115.26	1.837479	1.080245
116.78	1.885597	1.081829
118.31	1.829256	1.081980
119.83	1.806127	1.082044
121.36	1.771176	1.084318
122.89	1.747019	1.085115
124.42	1.701789	1.084974
125.95	1.457134	1.087094
127.47	1.466900	1.087608
129.00	1.640111	1.088366
130.53	1.635999	1.090718
132.06	1.616468	1.091990
133.59	1.536287	1.091296
135.11	1.404708	1.093878
136.64	1.447882	1.095549
138.17	1.370271	1.095677
139.70	0.074013	1.097952
141.23	-0.054482	1.098800
142.75	-0.039998	1.100529
144.27	1.082442	1.101113
145.80	1.372841	1.102963
147.33	1.270559	1.105006
148.86	0.253392	1.105829
150.39	0.768914	1.107448
151.91	-0.043688	1.108964
153.44	-0.029297	1.110454
154.97	-0.027755	1.112613
156.50	-0.030839	1.113898
158.03	-0.019017	1.117316
159.55	0.286801	1.118267
161.08	-0.057566	1.121839
162.61	-0.067845	1.124435
164.14	0.126953	1.127005
165.67	0.343853	1.130988
167.19	0.443565	1.134342
168.72	0.921053	1.135562
170.25	1.218133	1.140394
171.78	1.278269	1.143208
173.31	1.255140	1.147615
174.83	1.199630	1.152588
176.36	0.023643	1.157085
177.89	1.244346	1.160220
179.42	1.225843	1.166016
180.95	1.242290	1.169703
182.47	1.245888	1.173134
184.00	1.211965	1.179006
185.53	1.222245	1.185495
187.06	1.189350	1.186369
188.59	1.188836	1.192807
190.11	1.181127	1.195955
191.64	1.195004	1.199193
193.17	1.175473	1.203575
194.70	1.180099	1.208316
196.23	1.215049	1.209845
197.75	1.217105	1.215049
199.28	0.568976	1.219470
200.81	1.197574	1.222245
202.34	1.201686	1.226267
203.87	1.199630	1.229826
205.39	1.204770	1.231548
206.92	1.205798	1.235197
208.45	1.197574	1.237754
209.98	1.190892	1.240376
211.51	1.178557	1.241853
213.03	1.178557	1.243151
214.56	1.166735	1.246582
216.09	1.164679	1.248908
217.62	1.163651	1.251619
219.15	1.171875	1.254639
220.67	1.169819	1.254549
222.20	1.175987	1.257106
223.73	1.154400	1.260280
225.26	1.177015	1.260485
226.79	1.200658	1.262631
228.31	1.254112	1.263903
229.84	1.252570	1.263993
231.37	1.254112	1.266242
232.90	1.205284	1.268619
234.43	1.194490	1.268966
235.95	1.148746	1.269955
237.48	1.174445	1.273373
239.01	1.161081	1.272371
240.54	1.167763	1.272718
242.07	1.188836	1.275750
243.59	1.208882	1.275725
245.12	1.210424	1.275763
246.65	1.033614	1.278834
248.18	1.169305	1.280196
249.71	1.162623	1.281378
251.23	1.147204	1.284372
252.76	1.156456	1.285131
254.29	1.153372	1.286942
255.82	1.128701	1.290412
257.35	1.154400	1.289140
258.87	1.174445	1.289731
260.40	1.168791	1.290887
261.93	1.161595	1.291285
263.46	1.161595	1.291581
264.99	1.155942	1.292044
266.51	1.161595	1.292480
268.04	1.170847	1.293418
269.57	1.179071	1.295063
271.10	1.168277	1.293984
272.63	1.166221	1.295205
274.15	1.167249	1.294613
275.68	1.177015	1.293881
277.21	1.164165	1.296669
278.74	1.179071	1.295667
280.27	1.193462	1.294549
281.79	1.190378	1.298083
283.32	1.197060	1.296040
284.85	1.185238	1.296965
286.38	1.179585	1.296657
287.91	1.176501	1.296438
289.43	1.175987	1.294421
290.96	1.170333	1.296528
292.49	1.190378	1.296490
294.02	1.197574	1.295449
295.55	1.172389	1.296502
297.07	1.172389	1.298404
298.60	1.146690	1.296104
300.13	1.176501	1.297222
301.66	1.182669	1.298160
303.19	1.182155	1.295282
304.71	1.193976	1.296901
306.24	1.183183	1.298854
307.77	1.201686	1.296554
309.30	1.200658	1.298545
310.83	1.193462	1.297415
312.35	1.202714	1.297029
313.88	1.171875	1.296567
315.41	1.162623	1.297646
316.94	1.148746	1.298378
318.47	1.140008	1.297016
319.99	1.154914	1.298815
321.52	1.155428	1.298404
323.05	1.153372	1.296708
324.58	1.170333	1.298327
326.11	1.183183	1.298263
327.63	1.179071	1.296361
329.16	1.175473	1.298404
330.69	1.189864	1.297942
332.22	1.179585	1.298533
333.75	1.165707	1.298070
335.27	1.193462	1.297685
336.80	1.204770	1.295616
338.33	1.186780	1.298263
339.86	1.182669	1.297749
341.39	1.181127	1.296772
342.91	1.158512	1.298057
344.44	1.174959	1.297826
345.97	1.172903	1.297248
347.50	1.137952	1.297890
349.03	1.151316	1.297235
350.55	1.159539	1.297826
352.08	1.166221	1.298083
353.61	1.150288	1.297492
355.14	1.162109	1.296785
356.67	1.151316	1.297068
358.19	1.155942	1.297569
359.72	1.172903	1.295487
361.25	1.187294	1.297813
362.78	1.193462	1.298134
364.31	1.188322	1.297055
365.83	1.179585	1.296914
367.36	1.165707	1.296502
368.89	1.166735	1.296579
370.42	1.156970	1.297505
371.95	1.149260	1.296053
373.47	1.156456	1.295616
375.00	1.160567	1.294755
376.53	1.162109	1.298353
378.06	1.154914	1.296952
379.59	1.193462	1.296901
381.11	1.034642	1.296785
382.64	0.556641	1.295423
384.17	0.966283	1.294781
385.70	1.022821	1.289062
387.23	0.471834	1.262490
388.75	0.327405	1.185894
390.28	1.052118	1.112189
391.81	1.382093	1.091411
393.34	1.179071	1.077547
394.87	0.852179	1.070043
396.39	2.971320	1.063053
397.92	2.944593	1.056114
399.45	4.349815	1.052786
400.98	5.655325	1.045423
402.51	7.015831	1.036775
404.03	6.453536	1.022988
405.56	9.642784	1.007928
407.09	10.004112	0.995940
408.61	9.960418	0.990899
410.14	10.350535	0.986983
411.67	10.428146	0.986341
413.19	10.519634	0.985711
414.72	10.487767	0.985197
416.25	10.616262	0.985133
417.78	10.632196	0.984876
419.31	10.650699	0.983180
420.83	10.691817	0.982036
422.36	10.723684	0.983655
423.89	10.739104	0.982962
425.42	6.347656	0.981497
426.95	-0.069387	0.982422
428.47	-0.062192	0.981792
430.00	-0.045230	0.980893
431.53	-0.045230	0.982113
433.06	-0.036493	0.981561
434.59	-0.019017	0.981946
436.11	-0.035979	0.981715
437.64	-0.038035	0.981497
439.17	-0.047286	0.981227
440.70	-0.052426	0.981278
442.23	-0.056024	0.982293
443.75	-0.029297	0.980122
445.28	-0.029297	0.980687
446.81	-0.051398	0.980623
448.34	-0.046258	0.979968
449.87	-0.057566	0.978901
451.39	-0.042146	0.981175
452.92	-0.047800	0.981086
454.45	-0.052940	0.980597
455.98	-0.053454	0.981291
457.51	-0.052426	0.980726
459.03	-0.048314	0.980225
460.56	-0.048314	0.981368
462.09	-0.034951	0.982216
463.62	-0.029297	0.981330
465.15	-0.040604	0.980212
466.67	-0.041118	0.981985
468.20	-0.056024	0.980931
469.73	-0.036493	0.979531
471.26	-0.026727	0.980790
472.79	-0.032381	0.981831
474.31	-0.032381	0.980533
475.84	-0.049856	0.981458
477.37	-0.047800	0.981432
478.90	-0.038035	0.980687
480.43	-0.064762	0.981471
481.95	-0.054996	0.981240
483.48	-0.074527	0.979801
485.01	-0.065275	0.980250
486.54	-0.060136	0.980867
488.07	-0.052426	0.980584
489.59	-0.043174	0.980032
491.12	-0.022101	0.980764
492.65	-0.053454	0.978785
494.18	-0.026727	0.979736
495.71	-0.047800	0.980212
497.23	-0.056538	0.979955
498.76	-0.043174	0.979479
500.29	-0.060136	0.980533
501.82	-0.044202	0.980327
503.34	-0.071578	0.980516
505.01	-0.032552	0.978326
506.54	-0.022615	0.979826
508.07	-0.033923	0.980661
