Time (S)	Lockin (mV)	Temp (V)
7.57	27.832031	0.814209
9.10	31.101460	0.823576
10.63	31.149774	0.821597
12.15	31.334807	0.823216
13.66	31.401624	0.821251
15.18	29.879215	0.822895
16.70	31.680715	0.821430
18.23	31.479749	0.819670
19.75	31.594367	0.820004
21.27	31.560958	0.820801
22.79	31.510074	0.820839
24.31	31.680715	0.820197
25.83	31.456620	0.819657
27.35	31.604132	0.819503
28.87	31.574836	0.819914
30.39	31.529091	0.821006
31.90	31.678146	0.819477
33.42	31.491571	0.818321
34.95	31.480777	0.820248
36.48	31.502878	0.819670
38.01	31.502878	0.819799
39.54	31.489001	0.820338
41.07	31.477693	0.820685
42.59	31.480777	0.819387
44.12	31.447882	0.820415
45.65	31.446340	0.819657
47.18	31.400596	0.820621
48.70	31.348170	0.820891
50.23	31.277755	0.821122
51.76	31.175987	0.820685
53.29	31.103516	0.821713
54.82	30.935958	0.822330
56.35	30.810033	0.823975
57.87	30.622430	0.823049
59.40	30.432771	0.825799
60.93	30.212274	0.827084
62.46	29.939350	0.828331
63.99	29.674137	0.830348
65.51	29.403269	0.831556
67.04	29.118010	0.834357
68.57	28.820929	0.837878
70.10	28.475535	0.841167
71.63	28.172800	0.843480
73.15	27.739001	0.845716
74.67	27.193110	0.850791
76.19	26.529255	0.858050
77.71	25.991107	0.866543
79.23	25.499190	0.870894
80.75	24.992728	0.875309
82.28	24.174548	0.884329
83.80	23.389191	0.893685
85.32	22.361203	0.903892
86.84	21.545670	0.911891
88.36	21.042844	0.919462
89.89	20.048314	0.926437
91.41	15.858232	0.931526
92.93	18.941676	0.937903
94.46	18.258121	0.942563
95.99	17.783717	0.948589
97.51	17.120169	0.954166
99.04	16.456620	0.960089
100.57	15.758635	0.966797
102.10	15.072985	0.974314
103.62	15.058594	0.972001
105.15	15.184005	0.957494
106.68	14.829359	0.954037
108.21	14.244963	0.952765
109.74	14.008018	0.953857
111.27	13.625617	0.956620
112.79	13.232936	0.959383
114.32	12.853104	0.961811
115.85	12.466591	0.964124
117.38	12.072882	0.968737
118.90	11.446854	0.972643
120.43	11.196032	0.975663
121.96	10.809005	0.979466
123.49	10.430715	0.981869
125.02	10.038549	0.985210
126.55	9.655633	0.990042
128.07	9.275802	0.993331
129.60	8.861534	0.995323
131.13	8.445210	1.001375
132.66	7.963096	1.004305
134.19	7.304687	1.007890
135.71	7.234786	1.010845
137.24	6.734169	1.015535
138.77	6.623664	1.017154
140.30	6.274671	1.022410
141.83	5.958059	1.025031
143.35	5.601871	1.028539
144.88	5.290399	1.032162
146.41	4.928043	1.035503
147.94	4.450041	1.040065
149.47	4.210012	1.043174
150.99	3.912418	1.046785
152.52	3.626131	1.051385
154.05	3.334190	1.053788
155.58	3.044819	1.058273
157.10	2.773951	1.062911
158.63	2.534437	1.067781
160.16	2.290810	1.071135
161.69	2.051295	1.076429
163.22	1.870374	1.081710
164.75	1.684313	1.088379
166.27	1.497225	1.096860
167.80	1.366160	1.112767
169.33	1.230983	1.162148
