Time (S)	Lockin (mV)	Temp (V)
2.01	0.058105	0.989990
3.53	0.063692	0.995002
5.06	0.064237	0.991738
6.59	0.064751	0.991429
8.11	0.064361	0.988050
9.63	0.065008	0.986906
11.15	0.066021	0.986881
12.67	0.065897	0.984786
14.19	0.065913	0.984388
15.71	0.065610	0.983476
17.23	0.062793	0.983411
18.76	0.062274	0.984285
20.27	0.063189	0.987343
21.79	0.062176	0.989708
23.31	0.061765	0.993254
24.83	0.061092	0.996942
26.35	0.060213	1.001131
27.88	0.059288	1.003611
29.41	0.058393	1.005834
30.94	0.057396	1.011025
32.46	0.056261	1.014015
33.99	0.055500	1.018529
35.51	0.054402	1.021209
37.03	0.053701	1.024196
38.55	0.052339	1.029901
40.07	0.051706	1.033156
41.59	0.050438	1.035845
43.11	0.049311	1.041286
44.63	0.048236	1.044208
46.16	0.047065	1.047530
47.69	0.046063	1.050653
49.21	0.044543	1.056921
50.74	0.043472	1.059223
52.27	0.042285	1.065340
53.79	0.041031	1.068925
55.32	0.039746	1.073448
56.84	0.038444	1.079764
58.37	0.037084	1.087711
59.89	0.035655	1.096295
61.41	0.034336	1.115749
62.94	0.032633	1.165039
64.46	0.031328	1.366538
65.98	0.029598	1.737619
67.50	0.029286	2.083234
69.03	0.023114	2.243215
70.55	0.055648	2.280338
72.07	0.093904	2.292044
73.60	0.093406	2.295243
75.13	0.093467	2.299316
76.66	0.027562	2.299869
78.19	0.028444	2.299586
79.71	0.027778	2.299098
81.24	0.026563	2.299972
82.77	0.027201	2.298687
84.30	0.026911	2.299239
85.83	0.025659	2.299252
87.35	0.019573	2.298173
88.88	0.017541	2.297093
90.41	0.018593	2.298674
91.94	0.030017	2.297312
93.47	0.027437	2.296747
94.99	0.027266	2.293778
96.52	0.027211	2.294858
98.05	0.027177	2.296901
99.58	0.027144	2.294356
101.11	0.027127	2.295834
102.63	0.027076	2.296194
104.16	0.027076	2.293778
105.69	0.027027	2.295166
107.22	0.026947	2.295115
108.75	0.026955	2.294138
110.27	0.027056	2.295590
111.80	0.027058	2.295757
113.33	0.027104	2.296374
114.86	0.027146	2.294369
116.39	0.027155	2.296335
117.91	0.027115	2.296785
119.44	0.027019	2.295076
120.97	0.027033	2.296502
122.50	0.027110	2.294755
124.03	0.027107	2.295719
125.55	0.027109	2.292879
127.08	0.027118	2.294511
128.61	0.027086	2.297903
130.14	0.026982	2.295680
131.67	0.027110	2.294369
133.19	0.027135	2.296554
134.72	0.027181	2.296978
136.25	0.027109	2.295873
137.78	0.027041	2.294138
139.31	0.027024	2.297942
140.84	0.026992	2.295320
142.36	0.027036	2.294074
143.89	0.027160	2.294768
145.42	0.027194	2.295102
146.95	0.027203	2.293624
148.47	0.027123	2.293264
150.00	0.028510	2.297081
151.53	0.027485	2.295821
153.06	0.028147	2.296207
154.59	0.026859	2.296027
156.11	0.027252	2.294665
