Time (S)	Lockin (mV)	Temp (V)
29.90	0.043945	0.396729
31.43	0.276778	0.391923
32.96	0.284334	0.391627
34.48	0.278012	0.392231
36.00	0.284488	0.391807
37.52	0.279400	0.391460
39.04	0.280787	0.390831
40.56	0.283100	0.390985
42.08	0.275545	0.391165
43.60	0.270919	0.391550
45.12	0.263826	0.390715
46.64	0.278937	0.392193
48.16	0.282946	0.391139
49.68	0.278475	0.391422
51.20	0.283717	0.390882
52.72	0.272153	0.391332
54.24	0.277395	0.391280
55.77	0.276316	0.390843
57.30	0.284488	0.392257
58.83	0.283100	0.389918
60.36	0.277087	0.392334
61.88	0.278937	0.391576
63.41	0.277549	0.391499
64.94	0.281558	0.391023
66.47	0.283100	0.391088
68.00	0.279554	0.392116
69.52	0.280633	0.390381
71.05	0.279708	0.391987
72.58	0.282329	0.392205
74.11	0.284180	0.390959
75.64	0.281867	0.390741
77.16	0.277087	0.391820
78.69	0.283871	0.392321
80.22	0.281867	0.391370
81.75	0.283871	0.393555
83.28	0.278320	0.396253
84.80	0.277858	0.397538
86.33	0.280171	0.401650
87.86	0.329975	0.407265
89.38	0.443661	0.412130
90.90	0.318681	0.418571
92.43	0.283717	0.423969
93.96	0.278783	0.428325
95.48	0.276624	0.431114
97.01	0.278320	0.434172
98.54	0.279400	0.438618
100.07	0.278012	0.441907
101.60	0.280633	0.445685
103.12	0.280633	0.451763
104.65	0.280171	0.455181
106.18	0.281713	0.459293
107.71	0.279091	0.462968
109.24	0.285876	0.467427
110.76	0.281867	0.471705
112.29	0.279862	0.475265
113.82	0.282021	0.479428
115.35	0.284951	0.482897
116.88	0.283563	0.487061
118.40	0.277395	0.491224
119.93	0.280479	0.495773
121.46	0.280942	0.500720
122.99	0.285567	0.504227
124.52	0.281713	0.508404
126.04	0.278783	0.515998
127.57	0.277549	0.522063
129.10	0.284180	0.528115
130.63	0.280942	0.534604
132.16	0.282638	0.539204
133.68	0.282792	0.545025
135.21	0.279091	0.550653
136.74	0.280325	0.557309
138.27	0.281558	0.561009
139.80	0.280633	0.565892
141.32	0.280633	0.571687
142.85	0.279245	0.577161
144.38	0.278937	0.581106
145.91	0.281713	0.586464
147.44	0.282638	0.592028
148.96	0.279091	0.596500
150.49	0.280016	0.602038
152.02	0.279554	0.605751
153.55	0.279862	0.610814
155.08	0.282484	0.615491
156.60	0.279862	0.620708
158.13	0.284025	0.625373
159.66	0.279091	0.631142
161.19	0.286030	0.653796
162.72	0.276933	0.679700
164.24	0.279862	0.702187
165.77	0.274774	0.720266
167.30	0.281096	0.726768
168.83	0.283871	0.730096
170.36	0.281713	0.733398
171.88	0.278629	0.735981
173.41	0.279708	0.737780
174.94	0.280325	0.739348
176.47	0.287572	0.742355
178.00	0.281558	0.744488
179.52	0.281096	0.747302
181.05	0.281558	0.749692
182.57	0.280683	0.751389
184.10	0.280787	0.753739
185.63	0.281713	0.755410
187.16	0.279245	0.757980
188.68	0.277395	0.761205
190.21	0.283717	0.762772
191.74	0.282484	0.765818
193.27	0.282021	0.767373
194.80	0.279400	0.770418
196.32	0.281404	0.771613
197.85	0.279091	0.773900
199.38	0.282021	0.776033
200.91	0.276778	0.779785
202.44	0.276162	0.782625
203.96	0.277087	0.784167
205.49	0.283563	0.787354
207.02	0.283563	0.788176
208.55	0.277087	0.788047
210.08	0.279091	0.795757
211.60	0.282175	0.797582
