#Calibration For Copper
#Temp K	Voltage V
4	2.4914
4.2	2.4774
4.4	2.4624
4.6	2.4474
4.8	2.4324
5	2.4173
5.5	2.3787
6	2.3398
6.5	2.3012
7	2.2633
7.5	2.2264
8	2.191
8.5	2.1574
9	2.1255
9.5	2.0953
10	2.0668
11	2.0147
12	1.9639
13	1.9111
14	1.856
15	1.7969
16	1.7402
17	1.6771
18	1.6143
19	1.5458
20	1.4666
21	1.388
22	1.317
23	1.2605
24	1.2145
25	1.1768
26	1.1496
27	1.1323
28	1.1214
29	1.1136
30	1.1076
32	1.0988
34	1.0921
36	1.0864
38	1.0813
40	1.0764
45	1.0648
50	1.0536
55	1.0423
60	1.0307
65	1.0189
70	1.0067
75	0.99432
77.35	0.98842
80	0.9817
85	0.96891
90	0.95598
95	0.94294
100	0.92983
105	0.91664
110	0.9034
115	0.8901
120	0.87675
125	0.86334
130	0.84988
135	0.83638
140	0.82282
145	0.80921
150	0.79555
155	0.78184
160	0.76808
165	0.75427
170	0.74043
175	0.72654
180	0.71261
185	0.69865
190	0.68464
195	0.6706
200	0.65655
205	0.6425
210	0.62843
215	0.61442
220	0.60042
225	0.5865
230	0.5727
235	0.55904
240	0.54554
245	0.53218
250	0.51896
255	0.50584
260	0.49272
265	0.47961
270	0.46642
275	0.45314
280	0.43973
285	0.4262
290	0.41252
295	0.3987
300	0.38476
