#Calibration For Gold + 0.07% Iron
#Temp K	Voltage V
2.4	2.40558
2.6	2.39889
2.8	2.39166
3	2.38397
3.4	2.36748
3.8	2.34983
4.2	2.3313
5	2.29221
6	2.24059
7	2.18817
8	2.13784
9	2.09012
10	2.04411
11	1.99949
12	1.95662
13	1.9136
14	1.86598
15	1.81255
16	1.7534
17	1.68946
18	1.6242
19	1.55969
20	1.4937
21	1.42265
22	1.3478
23	1.28097
24	1.22772
25	1.18825
26	1.15978
27	1.13931
28	1.12559
29	1.11635
30	1.10948
32	1.09956
34	1.09209
36	1.08568
38	1.08016
40	1.07519
45	1.06345
50	1.05188
55	1.04002
60	1.02784
65	1.01531
70	1.00249
75	0.98943
77.35	0.98322
80	0.97619
90	0.94934
100	0.92215
