#Calibration For Lead
#Temp K	Voltage V
4	2.4299
4.2	2.416
4.4	2.4021
4.6	2.3876
4.8	2.3727
5	2.3577
5.5	2.3215
6	2.2876
6.5	2.2549
7	2.2226
7.5	2.1911
8	2.161
8.5	2.1321
9	2.1044
9.5	2.0778
10	2.0524
11	2.0047
12	1.9596
13	1.9116
14	1.8624
15	1.8142
16	1.7562
17	1.6895
18	1.6227
19	1.5507
20	1.4693
21	1.3983
22	1.3169
23	1.2604
24	1.2119
25	1.1731
26	1.1465
27	1.1297
28	1.1193
29	1.1103
30	1.1068
32	1.099
34	1.0924
36	1.0868
38	1.0817
40	1.0768
45	1.0653
50	1.0539
55	1.0427
60	1.0311
65	1.0192
70	1.007
75	0.99455
77.35	0.98861
80	0.98185
85	0.96899
90	0.95601
95	0.94296
100	0.92986
105	0.91669
110	0.90346
115	0.89015
120	0.87676
125	0.8633
130	0.84977
135	0.83621
140	0.82263
145	0.80901
150	0.79533
155	0.78157
160	0.76777
165	0.75393
170	0.74006
175	0.72615
180	0.71218
185	0.69813
190	0.68406
195	0.66995
200	0.65582
205	0.64176
210	0.62768
215	0.6136
220	0.59956
225	0.58557
230	0.57175
235	0.55807
240	0.5445
245	0.53106
250	0.51775
255	0.50453
260	0.49139
265	0.47822
270	0.46494
275	0.45159
280	0.43809
285	0.42443
290	0.41063
295	0.39671
300	0.38267
