Time (S)	Lockin (mV)	Temp (V)
1.92	0.007324	0.905762
3.44	-0.002467	0.905325
4.97	-0.002020	0.904130
6.49	-0.002621	0.903976
8.02	-0.001912	0.901136
9.54	-0.002745	0.902112
11.06	-0.002976	0.901444
12.58	-0.002853	0.902344
14.10	-0.002652	0.899645
15.62	-0.002005	0.898746
17.14	-0.003007	0.898245
18.66	-0.002791	0.899016
20.18	-0.002452	0.897294
21.70	-0.003115	0.899247
23.23	-0.003022	0.897602
24.76	-0.002883	0.898348
26.28	-0.002791	0.900763
27.80	-0.002621	0.899517
29.32	-0.003269	0.898887
30.85	-0.003146	0.900519
32.38	-0.002698	0.902228
33.91	-0.002760	0.900365
35.44	-0.002606	0.902485
36.96	-0.002452	0.903796
38.49	-0.002560	0.905453
40.02	-0.002791	0.907175
41.55	-0.002853	0.906481
43.08	-0.001897	0.908075
44.60	-0.002174	0.907843
46.13	-0.002205	0.909527
47.66	-0.002143	0.913908
49.19	-0.002436	0.911300
50.72	-0.002405	0.913857
52.24	-0.002729	0.914525
53.77	-0.003130	0.913137
55.30	-0.002668	0.914911
56.83	-0.002668	0.917879
58.36	-0.002698	0.918881
59.88	-0.002698	0.917660
61.41	0.004441	0.920115
62.94	0.000262	0.920963
64.47	0.022142	0.923237
65.99	0.078229	0.927072
67.51	0.054495	0.929072
69.04	0.077421	0.930369
70.56	0.076835	0.935560
72.09	0.076218	0.936022
73.62	0.074753	0.939903
75.15	0.069295	0.941303
76.68	0.070205	0.944709
78.20	0.073921	0.947086
79.73	0.073612	0.949476
81.26	0.072425	0.953048
