Time (S)	Lockin (mV)	Temp (V)
6.81	9.082031	0.987549
8.34	8.987664	0.976550
9.87	8.127416	0.975059
11.39	8.676038	0.975278
12.91	9.280171	0.973350
14.44	9.239926	0.973209
15.96	10.149054	0.972746
17.49	10.236482	0.973530
19.01	10.329153	0.971615
20.54	10.049907	0.971705
22.06	8.996762	0.969881
23.58	9.109786	0.969688
25.10	9.548006	0.967722
26.62	10.154451	0.968660
28.14	11.145611	0.968557
29.66	10.729132	0.966925
31.19	10.683799	0.967028
32.71	10.832751	0.966026
34.23	9.948139	0.966000
35.76	9.140317	0.965101
37.29	8.960681	0.964767
38.82	8.894223	0.966514
40.35	8.918894	0.965640
41.87	8.909488	0.965255
43.40	8.879112	0.966823
44.93	8.671104	0.967311
46.46	8.433491	0.967555
47.99	8.012233	0.971603
49.51	7.694901	0.974429
51.04	7.236791	0.977989
52.57	6.919459	0.983052
54.10	6.960783	0.987921
55.63	7.811009	0.991211
57.15	7.841694	0.996428
58.68	7.503238	1.000488
60.21	7.124692	1.005037
61.74	6.743061	1.009393
63.27	6.207699	1.014983
64.79	6.012716	1.019352
66.31	5.562551	1.021574
67.83	4.842555	1.025702
69.36	4.172779	1.029183
70.88	4.081927	1.033351
72.41	4.145045	1.036248
73.94	3.984375	1.042275
75.46	3.713067	1.046974
76.99	3.335526	1.050576
78.51	2.853017	1.054675
80.03	2.779811	1.058157
81.56	2.571186	1.062217
83.09	2.364412	1.066920
84.62	2.129729	1.070672
86.15	1.912315	1.075260
87.67	1.711400	1.081864
89.20	1.522512	1.087646
90.73	1.357987	1.094174
92.26	1.214895	1.107113
93.79	1.070107	1.141614
95.31	0.983296	1.294639
96.83	0.916930	1.654403
98.36	0.833727	2.086888
99.89	3.027447	2.370695
101.42	2.725843	2.426861
102.95	2.719675	2.437397
104.47	0.906764	2.437744
106.00	0.905119	2.438579
107.53	0.907689	2.438387
109.06	0.882401	2.438926
110.59	0.908357	2.436369
112.11	0.907381	2.437988
113.64	0.894840	2.435007
115.17	0.908717	2.435495
116.70	0.903269	2.435097
118.23	0.962222	2.436806
119.75	2.823396	2.435380
121.28	2.841437	2.435418
122.81	0.852107	2.434917
124.34	0.850519	2.433799
125.87	0.851799	2.434699
127.39	0.850427	2.433427
128.92	0.850766	2.434146
130.45	0.849039	2.434956
131.98	0.850997	2.432309
133.51	0.849023	2.433003
135.03	0.849316	2.433221
136.56	0.846880	2.431127
138.09	0.840913	2.430176
139.62	0.849949	2.429431
141.15	0.848576	2.428081
142.67	0.846926	2.430818
144.20	1.244562	2.430304
145.73	2.564864	2.427683
147.26	1.178737	2.430497
148.79	0.850550	2.430484
150.31	0.846155	2.432065
151.84	0.844691	2.431628
153.37	0.846865	2.431075
154.90	0.846433	2.431653
156.43	0.845554	2.427503
157.95	0.846880	2.429752
159.48	0.846587	2.433966
161.01	0.846001	2.428981
162.54	0.846371	2.431037
164.07	0.847636	2.431178
165.59	0.846356	2.430317
167.12	0.847003	2.429996
168.65	0.846942	2.430626
170.18	0.846695	2.429713
171.71	0.847898	2.430728
173.23	0.847466	2.430664
174.76	0.847882	2.429379
176.29	0.848715	2.432540
177.82	0.849162	2.432245
179.35	0.847898	2.430137
180.87	0.849794	2.430626
182.40	0.851814	2.431628
183.93	0.849255	2.430831
185.46	0.851444	2.431782
186.99	0.852477	2.431217
