#Time (S)	Lockin (mV)	Temp (V)
65.67	0.805664	2.344971
66.18	0.877121	2.366486
66.71	0.867613	2.374268
67.24	0.873491	2.376857
67.77	0.869363	2.369126
68.30	0.881747	2.370347
68.82	0.878240	2.374970
69.35	0.891202	2.371974
69.88	0.894931	2.366943
70.41	0.880859	2.365131
70.94	0.895774	2.344786
71.46	0.855824	2.321296
71.99	0.849432	2.315045
72.52	0.856667	2.307203
73.05	0.869185	2.293701
73.58	0.874245	2.291889
74.10	0.880682	2.295588
74.63	0.868075	2.288670
75.16	0.881836	2.285341
75.68	0.877121	2.286682
76.20	0.868286	2.290459
76.72	0.871948	2.283745
77.24	0.861694	2.267494
77.76	0.853683	2.249908
78.28	0.856796	2.242088
78.80	0.758469	2.239647
79.33	0.785980	2.227440
79.85	0.846085	2.229156
80.37	0.797379	2.228279
80.89	0.877716	2.223778
81.41	0.876892	2.219048
81.93	0.873825	2.219124
82.45	0.820862	2.222099
82.97	0.880692	2.225418
83.49	0.878494	2.220268
84.01	0.876892	2.216263
84.53	0.865402	2.220840
85.05	0.873322	2.225914
85.57	0.865128	2.224197
86.09	0.866592	2.221413
86.61	0.866684	2.218704
87.13	0.863708	2.222176
87.65	0.863525	2.220078
88.17	0.863892	2.204208
88.69	0.864212	2.186775
89.21	0.863617	2.175407
89.73	0.862061	2.169685
90.25	0.837067	2.163200
90.77	0.854553	2.152939
91.29	0.856979	2.143250
91.81	0.820862	2.143097
92.33	0.861694	2.143593
92.85	0.866821	2.143135
93.37	0.868240	2.134819
93.89	0.869064	2.131767
94.41	0.865631	2.133484
94.93	0.867737	2.137108
95.45	0.867050	2.133560
95.97	0.866135	2.129898
96.49	0.869064	2.130127
97.01	0.870575	2.134628
97.53	0.869064	2.136726
98.05	0.870575	2.133331
98.57	0.879913	2.129478
99.09	0.880371	2.131958
99.61	0.879456	2.136879
100.13	0.880325	2.137070
100.65	0.878403	2.133522
101.17	0.878769	2.130051
101.69	0.877579	2.133789
102.21	0.874649	2.140579
102.73	0.873550	2.139778
103.25	0.871536	2.135506
103.77	0.869888	2.132378
104.29	0.872131	2.138329
104.81	0.876663	2.141685
105.33	0.873688	2.138748
105.85	0.872223	2.134209
106.37	0.870346	2.135048
106.89	0.870071	2.140465
107.41	0.868103	2.141075
107.93	0.867050	2.137718
108.45	0.865082	2.135315
108.97	0.863480	2.138634
109.49	0.860870	2.142220
110.01	0.855652	2.141953
110.53	0.859360	2.138290
111.05	0.858398	2.135811
111.57	0.859818	2.141457
112.09	0.854416	2.143784
112.61	0.859360	2.142029
113.13	0.860504	2.137375
113.65	0.862244	2.138634
114.17	0.865448	2.142525
114.69	0.867599	2.144089
115.21	0.869751	2.140503
115.73	0.872269	2.137718
116.25	0.871353	2.140923
116.77	0.873230	2.145500
117.29	0.876251	2.144508
117.81	0.874695	2.139282
118.33	0.877441	2.137260
118.85	0.877167	2.142601
119.37	0.875885	2.146721
119.89	0.879547	2.142487
120.41	0.876892	2.138977
120.93	0.878311	2.139854
121.45	0.879364	2.144852
121.97	0.878998	2.148628
122.49	0.878036	2.142868
123.01	0.876709	2.139778
123.53	0.876068	2.141724
124.05	0.874924	2.145386
124.57	0.872681	2.149620
125.09	0.872177	2.141457
125.61	0.870758	2.138138
126.13	0.867554	2.143135
126.65	0.867096	2.146263
127.17	0.864349	2.147293
127.69	0.863525	2.140121
128.21	0.862747	2.139587
128.73	0.862564	2.143784
129.25	0.863800	2.149200
129.77	0.862015	2.145386
130.29	0.863571	2.140884
130.81	0.861877	2.138367
131.33	0.863434	2.145958
131.85	0.864120	2.147560
132.37	0.864670	2.144051
132.89	0.865585	2.140007
133.41	0.868149	2.140694
133.93	0.868103	2.146721
134.45	0.868240	2.148590
134.97	0.869476	2.143211
135.49	0.872086	2.139511
136.01	0.873047	2.142372
136.53	0.874512	2.145729
137.05	0.875473	2.147560
137.57	0.877167	2.143135
138.09	0.877487	2.140388
138.61	0.877762	2.142334
139.13	0.877945	2.147255
139.65	0.878769	2.149010
140.17	0.877716	2.143211
140.69	0.876984	2.139397
141.21	0.873550	2.144814
141.73	0.873688	2.146912
142.25	0.874924	2.147636
142.77	0.872772	2.141418
143.29	0.871719	2.140388
143.81	0.866638	2.144470
144.33	0.866364	2.149620
144.85	0.867096	2.146873
145.37	0.864990	2.142677
145.89	0.864807	2.141113
146.41	0.861923	2.146416
146.93	0.861465	2.150307
147.45	0.863525	2.145500
147.97	0.861786	2.141304
148.49	0.864075	2.141190
149.01	0.863159	2.147064
149.53	0.866867	2.148972
150.05	0.867142	2.143555
150.57	0.869247	2.141533
151.09	0.870163	2.142105
151.61	0.871078	2.148437
152.13	0.871902	2.147865
152.65	0.872818	2.143135
153.17	0.874191	2.139931
153.69	0.876892	2.145996
154.21	0.878769	2.149582
154.73	0.879089	2.146683
155.25	0.881561	2.142181
155.77	0.880966	2.141304
156.29	0.881104	2.145996
156.81	0.883118	2.148857
157.33	0.882889	2.144814
157.85	0.880692	2.141151
158.37	0.880463	2.143288
158.89	0.880600	2.148132
159.41	0.879822	2.148552
159.93	0.877396	2.145119
160.45	0.874741	2.140579
160.97	0.872818	2.144775
161.49	0.871674	2.148399
162.01	0.869843	2.146645
162.53	0.867874	2.143898
163.05	0.869202	2.140884
163.57	0.866959	2.146912
164.09	0.867233	2.150383
164.61	0.867096	2.146149
165.13	0.866089	2.142029
165.65	0.866135	2.143288
166.17	0.865952	2.147789
166.69	0.867462	2.148323
167.21	0.867599	2.144241
167.73	0.868103	2.141533
168.25	0.868378	2.145805
168.77	0.869156	2.149925
169.29	0.870529	2.147903
169.81	0.870255	2.142525
170.33	0.873138	2.141457
170.85	0.873550	2.149200
171.37	0.874649	2.150383
171.89	0.874741	2.146606
172.41	0.877762	2.141800
172.93	0.878357	2.143898
173.45	0.877213	2.147942
