Time (S)	Lockin (mV)	Temp (V)
2.67	88.476562	0.410156
4.19	84.580078	0.391139
5.72	85.078125	0.389571
7.24	84.552323	0.390638
8.76	84.972759	0.391435
10.28	84.482422	0.391319
11.80	84.787726	0.390214
13.32	84.950658	0.390766
14.84	84.631990	0.390535
16.36	85.028783	0.392116
17.88	84.634046	0.390831
19.40	84.399671	0.390188
20.92	85.024157	0.390753
22.44	84.620683	0.390921
23.96	84.780016	0.391370
25.48	85.126953	0.390522
27.01	84.891036	0.390689
28.54	84.318976	0.390227
30.07	84.686472	0.389995
31.59	84.518400	0.391537
33.12	83.710424	0.394878
34.64	83.669070	0.399754
36.17	82.888569	0.402729
37.70	81.769634	0.408781
39.22	81.922166	0.411156
40.75	80.582854	0.417249
42.27	80.576795	0.423363
43.79	78.187706	0.435251
45.31	76.833132	0.446868
46.83	74.078499	0.457478
48.35	72.937271	0.467153
49.87	72.805332	0.477944
51.40	71.639083	0.484825
52.92	70.711956	0.492216
54.44	70.031998	0.500813
55.97	64.886924	0.506566
57.50	66.518812	0.512695
59.03	64.780530	0.519904
60.55	66.008429	0.526277
62.08	65.376748	0.531661
63.61	65.154708	0.539461
65.14	64.701377	0.546220
66.67	55.545847	0.551038
68.19	56.872430	0.557386
69.72	59.826789	0.564248
71.25	61.298828	0.569156
72.78	60.135691	0.575465
74.31	59.429996	0.581993
75.83	58.575761	0.589124
77.36	58.442640	0.593904
78.89	56.702817	0.603284
80.42	55.807977	0.612318
81.95	55.365954	0.618884
83.47	52.710732	0.627326
84.99	53.437708	0.634415
86.52	50.486739	0.643118
88.05	51.555818	0.649748
89.58	50.545847	0.655453
91.11	50.018503	0.663818
92.63	49.273232	0.671027
94.16	48.604544	0.677670
95.69	47.565789	0.685470
97.22	45.839844	0.692922
98.75	46.346114	0.699142
100.27	45.310958	0.706183
101.80	43.883121	0.714394
103.33	43.962274	0.719945
104.86	43.700658	0.727051
106.39	42.768298	0.733951
107.91	42.441920	0.741314
109.44	41.670436	0.747893
110.96	40.951213	0.754498
112.49	39.371916	0.762168
114.02	39.293791	0.769750
115.55	38.578845	0.776046
117.07	31.585115	0.782946
118.59	36.655377	0.789522
120.12	35.446649	0.797389
121.65	34.575966	0.803557
123.18	33.788549	0.810200
124.71	33.093133	0.817858
126.23	32.231188	0.823962
127.76	30.964227	0.831594
129.28	30.066857	0.837738
130.80	29.417353	0.845748
132.33	28.479132	0.851807
133.86	27.465049	0.859349
135.39	26.271073	0.865144
136.91	24.973273	0.872636
138.44	24.215152	0.879086
139.97	23.207751	0.886757
141.50	22.110917	0.894171
143.03	20.703639	0.901534
144.54	19.932264	0.906866
146.07	18.896998	0.914371
147.60	17.582751	0.922826
149.13	16.734169	0.929880
150.66	15.570518	0.938001
152.19	14.454153	0.945904
153.71	13.132710	0.952727
155.24	11.608758	0.960179
156.77	10.914885	0.974224
158.30	10.825452	0.983206
159.83	10.841900	0.983720
161.35	10.481086	0.984054
162.88	10.757607	0.983540
164.41	10.729338	0.983000
165.94	10.731908	0.984555
167.47	10.742701	0.984131
168.99	10.749897	0.983219
170.52	10.685136	0.983193
172.05	10.379831	0.983219
173.58	10.853721	0.983296
175.11	10.672286	0.983771
176.63	10.778166	0.982743
178.16	10.795641	0.983951
179.69	10.857319	0.984144
181.22	10.778166	0.983694
182.75	10.788446	0.983822
184.27	10.755551	0.983450
185.80	10.485197	0.983745
187.33	10.452303	0.984002
188.86	10.556127	0.983720
190.39	10.771998	0.982846
191.91	10.797183	0.983848
193.44	10.813117	0.983977
194.97	10.768914	0.983977
196.50	10.755037	0.984131
198.03	10.759663	0.984593
199.55	10.796155	0.983052
201.08	10.793586	0.984336
202.61	10.703125	0.984799
204.14	10.758121	0.983874
205.67	10.813631	0.984324
207.19	10.793586	0.983990
208.72	10.727282	0.984234
210.25	10.769942	0.983784
211.78	10.435341	0.983707
213.31	10.771484	0.984015
214.83	10.744243	0.984658
216.36	10.768400	0.983347
217.89	10.785362	0.985557
219.42	10.761719	0.984298
220.95	10.781764	0.983540
222.47	10.700555	0.985300
224.00	10.735506	0.984182
225.53	10.765317	0.983822
227.06	10.743215	0.984606
228.59	10.777138	0.984182
230.11	10.793586	0.984452
231.64	10.871711	0.984401
233.17	10.830078	0.983810
234.70	10.783820	0.984195
236.23	10.822368	0.984169
237.75	10.931332	0.984028
239.28	10.773026	0.983848
240.81	10.796669	0.983283
242.34	10.808491	0.983424
243.87	10.804379	0.983270
245.39	10.843442	0.983000
246.92	10.822882	0.983733
248.45	10.828022	0.982692
249.98	10.826480	0.982884
251.51	10.817229	0.983231
253.03	10.886102	0.983411
254.56	10.847039	0.983308
256.09	10.890728	0.984002
257.62	10.883018	0.983912
259.15	10.918483	0.983257
260.67	10.837788	0.983912
262.20	10.822882	0.982499
263.73	10.818257	0.981921
265.26	10.855777	0.983283
266.79	10.794613	0.982242
268.86	10.750868	0.983398
270.39	10.757607	0.982152
272.24	10.884233	0.984064
273.77	10.810033	0.982962
275.30	10.761205	0.982486
276.83	10.739618	0.982589
278.35	10.787932	0.982962
279.88	10.802837	0.984401
281.41	10.754009	0.983437
282.94	10.678454	0.983450
284.47	10.716488	0.983848
285.99	10.699527	0.983514
287.52	10.705695	0.982345
289.05	10.725740	0.983193
290.58	10.595189	0.983283
292.11	10.660979	0.982769
293.63	10.681024	0.983887
295.16	10.599815	0.983360
296.69	10.560238	0.982448
298.22	10.520148	0.983360
299.75	10.583368	0.983476
301.27	10.527344	0.983039
302.80	10.457956	0.983514
304.33	10.522204	0.983527
305.86	10.319182	0.982550
307.39	10.348993	0.983129
308.91	10.324836	0.982782
310.44	10.369552	0.983064
311.97	10.430201	0.983244
313.50	10.457442	0.983745
315.03	10.692845	0.983064
316.55	10.603413	0.983604
318.08	10.764803	0.983771
319.61	10.695929	0.982640
321.14	10.770970	0.983450
322.67	10.925164	0.983591
324.19	10.845498	0.982460
325.72	10.933388	0.983437
327.25	10.826994	0.983334
328.78	10.847039	0.982499
330.31	10.805407	0.983411
331.83	10.690789	0.983476
333.36	10.741674	0.982538
334.89	10.739104	0.983900
336.42	10.812603	0.983052
337.95	10.822368	0.983334
339.47	10.754009	0.983694
341.00	10.832648	0.982872
342.53	10.862973	0.982653
344.06	10.747327	0.983514
345.59	10.870683	0.982897
347.11	10.918997	0.982358
348.64	10.865543	0.983643
350.17	10.758635	0.983810
351.70	10.787418	0.982820
353.23	11.033100	0.983090
354.75	11.225843	0.983308
356.28	11.212479	0.983052
357.81	11.134868	0.982332
359.34	11.095292	0.983784
360.87	10.999692	0.982653
362.39	10.976049	0.983129
363.92	10.972965	0.983167
365.45	10.960115	0.983167
366.98	10.880448	0.982268
368.51	10.893812	0.982550
370.03	10.944696	0.982833
371.56	10.826994	0.983244
373.09	10.875308	0.983476
374.62	10.964741	0.982884
376.15	10.890728	0.984542
377.67	10.819285	0.982692
379.20	10.852179	0.983668
380.73	10.796669	0.984015
382.26	10.906661	0.983077
383.79	10.811575	0.982717
385.31	10.830078	0.983591
386.84	10.878392	0.983270
388.37	10.823910	0.983244
389.90	10.805407	0.983360
391.43	10.781250	0.981831
392.95	10.757093	0.982820
394.48	10.774054	0.983116
396.01	10.770970	0.982448
397.54	10.731908	0.983116
399.07	10.731908	0.983501
400.59	10.718544	0.982756
402.12	10.743729	0.983591
403.65	10.711349	0.983386
405.18	10.717002	0.982512
406.71	10.675370	0.982910
408.23	10.685136	0.983321
409.76	10.752981	0.983360
411.29	10.691303	0.983026
412.82	10.604441	0.983000
414.35	10.684108	0.983334
415.87	10.824424	0.983476
417.40	10.789474	0.982769
418.93	10.720086	0.983398
420.46	10.826994	0.982807
421.99	10.793586	0.982435
423.51	10.857319	0.982936
425.04	10.786390	0.983591
426.57	10.800267	0.982101
428.10	10.793072	0.983257
429.63	10.801295	0.983052
431.15	10.885074	0.982319
432.68	10.733964	0.982640
434.21	10.790502	0.983617
435.74	10.781250	0.983000
437.27	10.788960	0.982936
438.79	10.748869	0.984259
440.32	10.826480	0.982422
441.85	10.725226	0.983553
443.38	10.783306	0.983154
444.91	10.816715	0.982936
446.43	10.752467	0.983540
447.96	10.660979	0.983039
449.49	10.681538	0.983206
451.02	10.674342	0.982769
452.55	10.809005	0.983912
454.07	10.638877	0.983681
455.60	10.702097	0.982807
457.13	10.743215	0.983129
458.66	10.783820	0.983154
460.19	10.780222	0.982859
461.71	10.742701	0.983052
463.24	10.830592	0.983116
464.77	10.805407	0.982370
466.30	10.756065	0.983180
467.83	10.818257	0.983553
469.35	10.742187	0.982807
470.88	10.767373	0.983334
472.41	10.875308	0.983630
473.94	10.846012	0.982987
475.47	10.748869	0.982884
476.99	10.696443	0.983527
478.52	10.797183	0.983681
480.05	10.736534	0.982884
481.58	10.738076	0.983887
483.11	10.591077	0.983488
484.63	10.644017	0.982627
486.16	10.506271	0.983758
487.69	10.742187	0.983283
489.22	10.620888	0.982113
490.75	10.693873	0.983193
492.27	10.634252	0.982872
493.80	10.587479	0.982409
495.33	10.676912	0.983244
496.86	10.715461	0.983308
498.39	10.703125	0.982962
499.91	10.645045	0.982756
501.44	10.713405	0.983565
502.97	10.890728	0.983296
504.50	10.764803	0.982795
506.03	10.712891	0.983874
507.55	10.766859	0.983463
509.08	10.918997	0.983167
510.61	10.967311	0.983694
512.14	10.901007	0.983219
513.67	10.988384	0.982576
515.19	10.786904	0.983488
516.72	10.798211	0.983733
518.25	10.757093	0.982409
519.78	10.680510	0.983604
521.31	10.703639	0.983103
522.83	10.669716	0.983668
524.36	10.641961	0.984079
525.89	10.531970	0.983861
527.42	10.418380	0.983193
528.95	10.705695	0.983810
530.47	10.307360	0.983912
532.00	10.441509	0.983154
533.53	10.263672	0.983398
535.06	10.335115	0.983296
536.59	10.242599	0.982782
