#Time (S)	Lockin (mV)	Temp (V)
77.32	8.525391	0.970459
77.87	10.811462	0.978050
78.39	10.860901	0.980682
78.92	11.022283	0.980705
79.45	10.903320	0.976932
79.98	10.939276	0.977820
80.51	11.064009	0.980373
81.03	10.893999	0.976710
81.56	11.016513	0.977820
82.09	11.069780	0.980742
82.62	10.973011	0.977746
83.15	11.132369	0.976267
83.67	11.061346	0.979115
84.20	11.032937	0.977931
84.73	11.193182	0.975934
85.26	11.070668	0.977857
85.79	11.139471	0.977746
86.31	11.069641	0.978813
86.83	11.075592	0.976181
87.35	11.102600	0.975189
87.87	11.103516	0.976295
88.39	11.136017	0.977898
88.91	11.166687	0.978050
89.43	11.194611	0.975609
89.95	11.246796	0.974770
90.47	11.277924	0.975609
90.99	11.321869	0.977631
91.51	11.380005	0.975494
92.03	11.412964	0.974388
92.55	11.441803	0.972748
93.07	11.468811	0.974770
93.59	11.510925	0.976257
94.11	11.529236	0.974655
94.63	11.533813	0.972061
95.15	11.558075	0.972824
95.67	11.576385	0.975075
96.19	11.565399	0.976181
96.71	11.573639	0.973129
97.23	11.555786	0.971909
97.75	11.562653	0.971718
98.27	11.556702	0.974388
98.79	11.553955	0.974350
99.31	11.555786	0.971756
99.83	11.566315	0.970116
100.35	11.574554	0.972481
100.87	11.578674	0.974350
101.39	11.622620	0.972786
101.91	11.626282	0.970039
102.43	11.679840	0.970688
102.95	11.719666	0.972633
103.47	11.770477	0.972939
103.99	11.793365	0.970535
104.51	11.863861	0.969315
105.03	11.743011	0.971870
105.55	11.777802	0.970039
106.07	11.785583	0.970497
106.59	11.813507	0.971298
107.11	11.828156	0.973701
107.63	11.865692	0.970345
108.15	11.893158	0.968094
108.67	11.953125	0.968132
109.19	11.998444	0.971375
109.71	12.039185	0.971031
110.23	12.107849	0.969696
110.75	12.160950	0.967255
111.27	12.179260	0.969200
111.79	12.239685	0.970345
112.31	12.263489	0.969162
112.83	12.310181	0.967064
113.35	12.339935	0.966339
113.87	12.337189	0.967140
114.39	12.360992	0.968590
114.91	12.383423	0.966682
115.43	12.397156	0.965309
115.95	12.396240	0.966606
116.47	12.396240	0.967560
116.99	12.402191	0.966949
117.51	12.405853	0.965729
118.03	12.415009	0.965004
118.55	12.412720	0.965195
119.07	12.409973	0.966377
119.59	12.436981	0.966377
120.11	12.453003	0.964050
120.63	12.458038	0.963478
121.15	12.481842	0.964622
121.67	12.532654	0.966454
122.19	12.549591	0.964317
122.71	12.593994	0.961609
123.23	12.621918	0.962143
123.75	12.663574	0.963326
124.27	12.707062	0.964661
124.79	12.813721	0.963058
125.31	12.810974	0.960617
125.83	12.889252	0.960922
126.35	12.932739	0.962906
126.87	12.961578	0.961990
127.39	13.008728	0.961075
127.91	13.055420	0.959282
128.43	12.661743	0.959625
128.95	11.119537	0.962105
129.47	13.196411	0.961609
129.99	13.194580	0.959740
130.51	13.244934	0.958672
131.04	12.302856	0.959587
131.56	13.159332	0.956879
132.08	13.229370	0.956688
132.60	13.260498	0.958595
133.12	13.337402	0.959358
133.64	13.361206	0.957985
134.16	13.437653	0.955505
134.68	13.472900	0.956154
135.20	13.518219	0.957336
135.72	13.537445	0.957756
136.24	13.581390	0.956841
136.76	13.608856	0.954514
137.28	13.596039	0.954933
137.80	13.381805	0.957146
138.32	13.670654	0.956345
138.84	13.662872	0.954971
139.36	13.645020	0.953903
139.88	13.683014	0.954056
140.40	13.672485	0.954819
140.92	13.672028	0.955620
141.44	13.704529	0.953140
141.96	13.682098	0.952644
142.48	13.704071	0.953140
143.00	13.729706	0.955238
143.52	13.750305	0.955009
144.04	13.771820	0.951614
144.56	13.817139	0.950356
145.08	13.854218	0.953293
145.60	13.910522	0.954247
146.12	13.976898	0.952797
146.64	14.003448	0.951576
147.16	14.070740	0.950012
147.68	14.126129	0.952110
148.20	14.182434	0.953178
148.72	14.242859	0.951996
149.24	14.272614	0.948448
149.77	14.166870	0.949783
150.29	14.123383	0.948524
150.81	14.170074	0.947495
151.33	14.230957	0.948448
151.85	14.257050	0.950241
152.37	14.318390	0.950127
152.89	14.385681	0.948143
153.41	14.441986	0.947266
153.93	14.504242	0.947762
154.45	14.550476	0.949593
154.97	14.608612	0.949059
155.49	14.645233	0.946198
156.01	14.674072	0.946198
156.53	14.711151	0.946274
157.05	14.737701	0.947914
157.57	14.123840	0.948181
158.09	12.633820	0.945435
