Time (S)	Lockin (mV)	Temp (V)
2.06	0.080566	0.975342
3.59	0.071191	0.960295
5.12	0.070605	0.962698
6.64	0.069141	0.966540
8.16	0.068956	0.966463
9.68	0.067753	0.970870
11.20	0.067583	0.974262
12.72	0.067013	0.973145
14.24	0.066118	0.978310
15.77	0.065764	0.983013
17.30	0.064484	0.987626
18.83	0.063343	0.988744
20.35	0.062772	0.993010
21.88	0.061755	0.995374
23.40	0.060830	0.999640
24.92	0.060984	1.002043
26.44	0.059627	1.007119
27.96	0.058578	1.007625
29.49	0.057946	1.013119
31.01	0.056724	1.016950
32.54	0.055865	1.018979
34.07	0.054600	1.022114
35.60	0.053814	1.026354
37.12	0.052704	1.031057
38.65	0.051917	1.032509
40.18	0.050899	1.036750
41.71	0.049851	1.041979
43.23	0.048916	1.046376
44.76	0.047538	1.047929
46.28	0.046829	1.052786
47.81	0.045641	1.056910
49.34	0.044439	1.059557
50.87	0.043128	1.064196
52.39	0.042060	1.070388
53.92	0.040877	1.074360
55.44	0.039736	1.081517
56.96	0.038273	1.088036
58.49	0.036960	1.096371
60.02	0.035758	1.111688
61.54	0.034377	1.153110
63.07	0.033013	1.312988
64.59	0.032117	1.660143
66.11	0.031510	2.035289
67.64	0.031409	2.230777
69.16	0.031564	2.278731
70.69	0.024856	2.290514
72.22	0.022867	2.295436
73.75	0.109447	2.299265
75.27	0.028248	2.302129
76.80	0.031050	2.300319
78.32	0.031137	2.299920
79.85	0.030705	2.300884
81.38	0.030392	2.301886
82.91	0.030345	2.300550
84.44	0.029867	2.302195
85.96	0.010485	2.303390
87.49	0.036744	2.300164
89.02	0.035023	2.299149
90.55	-0.002498	2.298802
92.07	0.048428	2.299623
93.60	0.004962	2.297826
95.12	0.011979	2.300486
96.65	0.004960	2.300640
98.18	0.015905	2.298802
99.71	0.016059	2.300075
101.24	-0.001873	2.298957
102.76	0.020645	2.297993
104.29	0.024609	2.300280
105.82	0.026053	2.298880
107.35	0.008985	2.297350
108.88	0.008843	2.301025
110.40	0.008994	2.299907
111.93	0.008936	2.297864
113.46	0.029775	2.297068
114.99	0.029734	2.298584
116.52	0.029831	2.296991
118.04	0.029790	2.297877
119.57	0.029857	2.299805
121.10	0.029734	2.298173
122.63	0.029662	2.297736
124.16	0.029754	2.298905
125.68	0.029564	2.298841
127.21	0.029641	2.296143
128.74	0.029513	2.297338
130.27	0.029564	2.291016
131.80	0.029574	2.283601
133.32	0.029667	2.276663
134.85	0.029682	2.266075
136.38	0.029770	2.224108
137.91	0.029472	2.113680
139.44	0.029621	1.908987
140.96	0.030140	1.677118
142.49	0.030751	1.494526
144.02	0.031456	1.339587
145.55	0.032000	1.237742
147.08	0.032576	1.178236
148.60	0.033157	1.144673
150.13	0.033882	1.124615
151.66	0.034658	1.112883
153.19	0.035480	1.102398
154.72	0.036282	1.094225
156.24	0.037536	1.087492
157.77	0.038800	1.083098
159.30	0.039880	1.078369
160.83	0.041257	1.074746
162.36	0.042162	1.071109
163.88	0.043298	1.066573
165.41	0.044279	1.063232
166.94	0.045205	1.058838
168.47	0.046310	1.056307
170.00	0.046978	1.052465
171.52	0.047924	1.049458
173.05	0.048587	1.048096
174.58	0.049358	1.044022
176.11	0.050463	1.040823
177.64	0.051778	1.038214
179.16	0.052657	1.035028
180.69	0.053567	1.030428
182.22	0.054307	1.025840
183.75	0.055130	1.024748
185.28	0.055834	1.021549
186.80	0.060393	1.018812
188.33	0.117552	1.015766
189.85	0.015635	1.013028
191.38	0.052498	1.011552
192.91	0.059462	1.007581
194.44	0.060439	1.004639
195.96	0.060701	1.003932
197.49	0.061421	1.003097
