#Time (S)	Lockin (mV)	Temp (V)
37.40	0.015137	2.264404
37.92	0.018066	2.257843
38.44	0.017532	2.255211
38.97	0.017356	2.257598
39.50	0.017623	2.258153
40.03	0.016809	2.253122
40.56	0.017164	2.257043
41.08	0.016824	2.258560
41.61	0.017327	2.252974
42.14	0.017608	2.255120
42.67	0.017001	2.259484
43.20	0.017637	2.255563
43.72	0.017282	2.255822
44.25	0.017504	2.258486
44.78	0.017933	2.252678
45.31	0.017948	2.248128
45.84	0.017549	2.248831
46.36	0.017471	2.243080
46.88	0.017822	2.238884
47.40	0.017517	2.239456
47.92	0.017517	2.240067
48.44	0.017761	2.237091
48.96	0.017181	2.231560
49.48	0.017548	2.226143
50.00	0.017181	2.227287
50.52	0.016342	2.228699
51.04	0.017273	2.225723
51.56	0.017151	2.219849
52.08	0.017609	2.218704
52.60	0.017715	2.221489
53.12	0.017899	2.223511
53.64	0.017883	2.218933
54.16	0.018021	2.217293
54.68	0.017395	2.217140
55.20	0.017746	2.220192
55.72	0.017059	2.220688
56.24	0.017136	2.214699
56.76	0.016953	2.210197
57.28	0.017334	2.206879
57.80	0.017456	2.207680
58.32	0.016968	2.203712
58.84	0.017349	2.198563
59.36	0.017960	2.193375
59.88	0.016983	2.194099
60.40	0.017853	2.195015
60.92	0.017532	2.193336
61.44	0.017487	2.189064
61.96	0.017426	2.187157
62.48	0.017151	2.188950
63.00	0.017578	2.191811
63.52	0.016754	2.187653
64.04	0.017349	2.184715
64.56	0.016998	2.184639
65.08	0.016434	2.187729
65.60	0.017410	2.188148
66.12	0.017227	2.181511
66.64	0.017151	2.174644
67.16	0.017258	2.176361
67.68	0.016571	2.175827
68.20	0.017593	2.172394
68.72	0.017151	2.165108
69.24	0.017303	2.158585
69.76	0.017822	2.156944
70.28	0.017502	2.158852
70.80	0.017212	2.157555
71.32	0.017441	2.153473
71.84	0.017426	2.150955
72.36	0.017502	2.154121
72.88	0.017441	2.155533
73.40	0.017502	2.154427
73.92	0.017349	2.151527
74.44	0.018021	2.150612
74.96	0.017868	2.151604
75.48	0.017334	2.157059
76.00	0.017944	2.155609
76.52	0.017532	2.150040
77.04	0.016739	2.148094
77.56	0.017288	2.152519
78.08	0.016647	2.155418
78.60	0.016678	2.152710
79.12	0.017288	2.148476
79.64	0.016541	2.150002
80.16	0.016785	2.151604
80.68	0.016953	2.151871
81.20	0.015564	2.148895
81.72	0.016510	2.144356
82.24	0.016998	2.146034
82.76	0.016953	2.148018
83.28	0.016937	2.145805
83.80	0.016464	2.142982
84.32	0.017288	2.142067
84.84	0.016418	2.143211
85.36	0.016739	2.145882
85.88	0.017487	2.145271
86.40	0.016678	2.143021
86.92	0.017609	2.143440
87.44	0.017517	2.142982
87.96	0.016891	2.140388
88.48	0.017151	2.138710
89.00	0.017044	2.129822
89.52	0.017303	2.120399
90.04	0.017761	2.113457
90.56	0.018204	2.111320
91.08	0.017685	2.103081
91.60	0.017288	2.098579
92.12	0.017426	2.093773
92.64	0.017426	2.095070
93.16	0.017914	2.095947
