#Time (S)	Lockin (mV)	Temp (V)
18.14	0.017395	2.253685
18.67	0.017122	2.256836
19.19	0.017593	2.258153
19.72	0.017933	2.253344
20.25	0.017992	2.253529
20.78	0.017770	2.258782
21.30	0.016542	2.255489
21.83	0.016647	2.254944
22.88	0.017075	2.252789
23.41	0.018066	2.253492
23.94	0.017682	2.245391
24.46	0.017149	2.241803
24.99	0.017327	2.240989
25.52	0.017608	2.232962
26.05	0.017652	2.225268
26.57	0.017776	2.220612
27.09	0.017044	2.217941
27.61	0.017197	2.216187
28.13	0.017227	2.209015
28.65	0.017731	2.203407
29.17	0.017532	2.201233
29.69	0.018112	2.202606
30.21	0.017441	2.202911
30.73	0.017532	2.199249
31.25	0.016861	2.196541
31.77	0.017776	2.195473
32.29	0.017288	2.197151
32.81	0.017899	2.198105
33.33	0.017502	2.196198
33.85	0.017670	2.192039
34.37	0.017731	2.194252
34.89	0.017899	2.195702
35.41	0.017853	2.196617
35.93	0.017578	2.190857
36.45	0.018250	2.184563
36.97	0.018188	2.182198
37.49	0.018173	2.183914
38.01	0.018173	2.181053
38.53	0.017990	2.175446
39.05	0.017807	2.171974
39.57	0.017746	2.172012
40.09	0.017487	2.173576
40.61	0.017548	2.172585
41.13	0.017349	2.167091
41.65	0.017456	2.165947
42.17	0.017136	2.167969
42.69	0.017075	2.170715
43.21	0.017303	2.166214
43.73	0.017349	2.161674
44.25	0.017502	2.155914
44.77	0.017471	2.155266
45.29	0.017487	2.152634
45.81	0.016708	2.143936
46.33	0.017365	2.138519
46.85	0.017258	2.135468
47.37	0.017441	2.136230
47.89	0.017136	2.137108
48.41	0.017868	2.133408
48.93	0.017410	2.128220
49.45	0.017593	2.128563
49.97	0.017761	2.128296
50.49	0.017624	2.131805
51.01	0.017532	2.126884
51.53	0.018005	2.124405
52.05	0.017807	2.124557
52.57	0.017654	2.126961
53.09	0.017639	2.127380
53.61	0.017807	2.125473
54.13	0.017471	2.120895
54.65	0.018005	2.120857
55.17	0.017944	2.124481
55.69	0.017883	2.120018
56.21	0.017670	2.111092
56.73	0.017700	2.105179
57.25	0.017838	2.101860
57.77	0.017838	2.101326
58.29	0.018600	2.097168
58.82	0.016891	2.090454
59.34	0.018112	2.091179
59.86	0.017334	2.087860
60.38	0.017654	2.083626
60.90	0.017731	2.082825
61.42	0.017715	2.084198
61.94	0.017609	2.084389
62.46	0.017380	2.081184
62.98	0.017410	2.077942
63.50	0.017426	2.078590
64.02	0.017090	2.080498
64.54	0.017380	2.081909
65.06	0.017014	2.078018
65.58	0.017120	2.077522
66.10	0.016754	2.077332
66.62	0.016846	2.078514
67.14	0.016373	2.076263
67.66	0.016830	2.066383
68.18	0.016602	2.056656
68.70	0.017365	2.049370
69.22	0.017044	2.046928
69.74	0.016983	2.041016
70.26	0.017273	2.032700
70.78	0.016891	2.027206
71.30	0.017685	2.025948
71.82	0.016937	2.025299
72.34	0.017044	2.022552
72.86	0.017502	2.017937
73.38	0.017868	2.013206
73.90	0.017609	2.013702
74.42	0.017593	2.014313
74.94	0.017151	2.011032
75.46	0.017807	2.008705
75.98	0.017578	2.007446
76.50	0.017578	2.008514
77.02	0.017456	2.010269
77.54	0.017029	2.006340
78.06	0.016983	2.005882
78.58	0.017792	2.004051
79.10	0.017487	1.999092
79.62	0.017899	1.991158
80.14	0.017670	1.978989
80.66	0.017517	1.966286
81.18	0.017868	1.956940
81.70	0.017654	1.951370
82.22	0.017471	1.945076
82.74	0.017593	1.935425
83.26	0.017426	1.927872
83.78	0.017014	1.921234
