Time (S)	Lockin (mV)	Temp (V)
45.79	0.066895	0.960693
46.31	0.045883	0.982246
46.83	0.045914	0.979156
47.36	0.045869	0.981408
47.89	0.046431	0.979818
48.41	0.046668	0.978856
48.94	0.046964	0.980262
49.47	0.046668	0.979004
50.00	0.045824	0.978042
50.53	0.045366	0.981223
51.05	0.045691	0.980373
51.58	0.046446	0.978338
52.11	0.045173	0.980003
52.64	0.045987	0.981815
53.17	0.046239	0.977376
53.70	0.045247	0.979300
54.22	0.047058	0.977745
54.74	0.045632	0.979559
55.26	0.046738	0.978546
55.78	0.046173	0.977898
56.30	0.046494	0.979958
56.82	0.046860	0.980759
57.34	0.046417	0.978699
57.86	0.045654	0.977135
58.38	0.046097	0.978127
58.90	0.045609	0.979843
59.42	0.044876	0.981293
59.94	0.045853	0.979347
60.46	0.045151	0.978088
60.98	0.045120	0.978546
61.50	0.045807	0.980148
62.02	0.045670	0.980759
62.54	0.046143	0.979004
63.06	0.046402	0.976944
63.58	0.046082	0.980110
64.10	0.045853	0.980110
64.62	0.045868	0.980988
65.14	0.046646	0.978470
65.66	0.046249	0.979271
66.18	0.046387	0.978241
66.70	0.046646	0.979424
67.22	0.047028	0.979996
67.74	0.047073	0.980339
68.26	0.047180	0.977249
68.78	0.047546	0.980988
69.30	0.047195	0.981369
69.82	0.046890	0.978737
70.34	0.046967	0.978165
70.86	0.046097	0.978241
71.38	0.046417	0.978622
71.90	0.045868	0.981407
72.42	0.046051	0.979195
72.94	0.046982	0.977821
73.46	0.046906	0.976868
73.98	0.046631	0.979462
74.50	0.047394	0.979424
75.02	0.047379	0.978622
75.54	0.047058	0.976715
76.06	0.047256	0.978966
76.58	0.046875	0.982666
77.10	0.046509	0.977859
77.62	0.046722	0.975990
78.14	0.047791	0.977097
78.66	0.047379	0.979614
79.18	0.047821	0.980186
79.70	0.047302	0.978928
80.22	0.047485	0.976562
80.74	0.047592	0.976677
81.26	0.047592	0.979614
81.78	0.048019	0.980949
82.30	0.046448	0.977516
82.82	0.046249	0.975952
83.34	0.045715	0.976562
83.86	0.046722	0.980339
84.38	0.046799	0.978470
84.90	0.046722	0.975609
85.42	0.047104	0.975304
85.94	0.046631	0.976868
86.46	0.046509	0.980682
86.98	0.047012	0.978279
87.50	0.047363	0.976524
88.02	0.046982	0.975876
88.54	0.046600	0.978317
89.06	0.046890	0.978928
89.58	0.046585	0.976105
90.10	0.047241	0.976448
90.62	0.047333	0.975266
91.14	0.047516	0.978889
91.66	0.047546	0.977631
92.18	0.046829	0.974770
92.70	0.047150	0.976257
93.22	0.047668	0.975189
93.74	0.047455	0.978394
94.26	0.047028	0.975380
94.78	0.052628	0.975380
95.30	0.059509	0.975533
95.82	0.057343	0.976219
96.34	0.055481	0.976906
96.86	0.055359	0.977631
97.38	0.055618	0.973892
97.90	0.053314	0.974312
98.42	0.055420	0.976486
98.94	0.054520	0.977325
99.46	0.048203	0.976257
99.98	0.050262	0.972443
100.50	0.049744	0.974731
101.02	0.049927	0.977211
101.54	0.048965	0.974922
102.06	0.050125	0.973511
102.58	0.049637	0.973892
103.10	0.050797	0.974274
103.62	0.050461	0.976715
104.14	0.050308	0.975571
104.66	0.049301	0.973282
105.18	0.049118	0.973663
105.70	0.048737	0.976067
106.22	0.048157	0.975075
106.74	0.048370	0.975418
107.26	0.048523	0.973129
107.78	0.048462	0.974541
108.30	0.048004	0.975838
108.82	0.046829	0.976219
109.34	0.046417	0.973282
109.86	0.046783	0.973740
110.38	0.046219	0.974197
110.90	0.046280	0.977821
111.42	0.046051	0.975075
111.94	0.046524	0.972786
112.46	0.047745	0.972748
112.98	0.047165	0.974388
113.50	0.047211	0.977173
114.02	0.047256	0.973969
114.54	0.047165	0.973434
115.06	0.047836	0.972595
115.58	0.047470	0.975647
116.10	0.047211	0.975266
116.62	0.046463	0.972023
117.14	0.046295	0.972099
117.66	0.045807	0.971527
118.18	0.045837	0.974808
118.70	0.046951	0.975838
119.22	0.046906	0.971642
119.74	0.046783	0.971718
120.26	0.047333	0.973206
120.78	0.046539	0.974045
121.30	0.047089	0.973434
121.82	0.046997	0.972977
122.34	0.046768	0.971298
122.86	0.046967	0.972328
123.38	0.046936	0.974312
123.90	0.047256	0.972672
124.42	0.047287	0.970955
124.94	0.046936	0.970840
125.46	0.047180	0.973778
125.98	0.047882	0.973015
126.50	0.047165	0.971222
127.02	0.047668	0.970764
127.54	0.046448	0.970497
128.06	0.046188	0.972404
128.58	0.045868	0.974159
129.10	0.046112	0.970764
129.62	0.046310	0.968208
130.14	0.045822	0.970497
130.66	0.046783	0.973358
131.18	0.047043	0.972748
131.70	0.047272	0.969009
132.22	0.047821	0.969620
132.74	0.047791	0.970917
133.26	0.047241	0.972137
133.78	0.047562	0.970459
134.30	0.047134	0.970497
134.83	0.047562	0.968513
135.34	0.047363	0.970001
135.86	0.047516	0.972214
136.38	0.047684	0.970421
136.90	0.047989	0.968590
137.42	0.047592	0.968361
137.94	0.047562	0.968933
138.46	0.047836	0.973587
138.98	0.046738	0.971832
139.50	0.046661	0.968781
140.02	0.046600	0.968933
140.54	0.046112	0.970497
141.06	0.046310	0.970535
141.58	0.046707	0.966034
142.10	0.046906	0.967331
142.62	0.047485	0.966225
143.14	0.046570	0.971565
143.66	0.046768	0.968018
144.18	0.047165	0.967522
144.70	0.047180	0.965843
145.22	0.047089	0.968208
145.74	0.046631	0.970497
146.26	0.046753	0.969734
146.78	0.047089	0.967369
147.30	0.046402	0.965652
147.82	0.047348	0.967026
148.34	0.047073	0.968475
148.86	0.047409	0.969620
149.38	0.047775	0.967064
149.90	0.047211	0.965576
150.42	0.047607	0.968018
150.94	0.046326	0.967026
151.46	0.046097	0.966682
151.98	0.045853	0.967407
152.50	0.045364	0.967598
153.02	0.045975	0.967789
153.54	0.046356	0.969086
154.06	0.046768	0.967789
154.58	0.047104	0.966148
155.10	0.046616	0.966301
155.62	0.047516	0.966072
156.14	0.047318	0.968971
156.66	0.046921	0.965538
157.18	0.047119	0.964546
157.70	0.047119	0.962944
158.22	0.046844	0.964470
158.74	0.047119	0.968742
159.26	0.047211	0.967026
159.78	0.047272	0.964851
160.30	0.047363	0.965195
160.82	0.046631	0.966644
161.34	0.047348	0.966606
161.86	0.047455	0.969620
162.38	0.046570	0.965424
162.90	0.046494	0.963783
163.42	0.045807	0.963326
163.94	0.047028	0.965347
164.46	0.047195	0.967522
164.98	0.047379	0.961609
165.50	0.048096	0.962601
166.02	0.047577	0.966377
166.54	0.047836	0.964165
167.06	0.047241	0.966377
167.58	0.046524	0.965309
168.10	0.046280	0.960541
168.62	0.046814	0.964470
169.14	0.046921	0.966454
169.66	0.047974	0.964737
170.18	0.047821	0.957565
170.70	0.047745	0.963745
171.22	0.048386	0.964279
171.74	0.048904	0.963745
172.26	0.047836	0.960388
172.78	0.047729	0.965004
173.30	0.047638	0.963974
173.82	0.046890	0.961990
174.34	0.046799	0.966568
174.86	0.047470	0.966339
175.38	0.047394	0.964050
175.90	0.047546	0.957794
176.42	0.048004	0.954590
176.94	0.047852	0.961876
177.46	0.048401	0.964622
177.98	0.048416	0.963821
178.50	0.049133	0.961189
179.02	0.048569	0.963974
179.54	0.048035	0.960312
180.06	0.048035	0.961456
180.58	0.048050	0.963211
181.10	0.048187	0.958977
181.62	0.049026	0.955849
182.14	0.049240	0.961075
182.66	0.049576	0.961075
183.18	0.049194	0.957184
183.70	0.049438	0.956841
184.22	0.049011	0.956726
184.74	0.048920	0.962601
185.26	0.049057	0.958672
185.78	0.048965	0.961494
186.30	0.049164	0.958748
186.82	0.048889	0.957222
187.34	0.049805	0.957794
187.86	0.049271	0.957298
188.38	0.049484	0.955734
188.90	0.050156	0.954094
189.42	0.049911	0.953712
189.94	0.050049	0.953369
190.46	0.049377	0.956726
190.98	0.049438	0.954666
191.50	0.049515	0.954742
192.02	0.049164	0.955353
192.54	0.050018	0.957222
193.06	0.050552	0.954895
193.58	0.050308	0.953751
194.10	0.050980	0.951691
194.62	0.050766	0.954666
195.14	0.050507	0.952873
195.66	0.050568	0.954323
196.18	0.050415	0.950432
196.70	0.049866	0.955887
197.22	0.049927	0.951195
197.74	0.049210	0.950851
198.26	0.049286	0.954666
198.78	0.049500	0.951500
199.30	0.050064	0.950012
199.82	0.050064	0.950737
200.34	0.049606	0.949249
200.86	0.050400	0.954323
201.38	0.050064	0.952644
201.90	0.050613	0.947456
202.42	0.050369	0.943985
202.94	0.050476	0.948677
203.46	0.050797	0.950813
203.98	0.050461	0.951500
204.50	0.051086	0.949478
205.02	0.051529	0.946808
205.54	0.050735	0.951309
206.06	0.051514	0.952034
206.58	0.051697	0.950203
207.10	0.050858	0.945663
207.62	0.050522	0.950623
208.14	0.050705	0.947304
208.66	0.050201	0.949898
209.18	0.050369	0.949364
209.70	0.049820	0.946426
210.22	0.050568	0.944557
210.74	0.051712	0.945091
211.26	0.051285	0.947456
211.78	0.051315	0.947952
212.30	0.051910	0.944443
212.82	0.051727	0.942535
213.34	0.052307	0.943108
213.86	0.051727	0.943947
214.38	0.050842	0.948830
214.90	0.051178	0.943298
215.42	0.051819	0.939445
215.94	0.052368	0.941200
216.46	0.051559	0.947304
216.98	0.052292	0.945969
217.50	0.051865	0.945206
218.03	0.050980	0.942993
218.56	0.051651	0.941544
219.08	0.051880	0.943222
219.60	0.051926	0.942917
220.12	0.051956	0.944252
220.64	0.051559	0.940285
221.16	0.052063	0.941048
221.68	0.052597	0.941429
222.20	0.052704	0.944099
222.72	0.052704	0.941696
223.24	0.052094	0.942345
223.76	0.052017	0.939217
224.28	0.051483	0.943527
224.80	0.051971	0.942383
225.32	0.051407	0.941963
225.84	0.051468	0.936623
226.36	0.050919	0.938110
226.88	0.051590	0.937462
227.40	0.051437	0.941544
227.92	0.052292	0.938530
228.44	0.052567	0.935364
228.96	0.053299	0.937004
229.48	0.052353	0.941048
230.00	0.052979	0.943184
230.52	0.052826	0.940590
231.04	0.053345	0.938721
231.56	0.053360	0.934525
232.08	0.052750	0.935249
232.60	0.053589	0.938873
233.12	0.053284	0.940018
233.64	0.054230	0.935020
234.16	0.053986	0.933571
234.68	0.053543	0.935516
235.20	0.053696	0.935097
235.72	0.052841	0.935478
236.24	0.052612	0.934944
236.76	0.052917	0.932198
237.28	0.053116	0.934677
237.80	0.053345	0.934639
238.32	0.053329	0.934906
238.84	0.053513	0.935097
239.36	0.054184	0.932045
239.88	0.053467	0.932693
240.40	0.053543	0.932922
240.92	0.054016	0.927773
241.44	0.053528	0.930519
241.96	0.053452	0.933456
242.48	0.053253	0.935478
243.00	0.053360	0.938873
243.52	0.053452	0.932732
244.04	0.053711	0.933456
244.56	0.054504	0.931931
245.08	0.054459	0.933990
245.60	0.054337	0.934715
246.12	0.054428	0.926361
246.64	0.053970	0.930824
