#Time (S)	Lockin (mV)	Temp (V)
15.63	0.052246	2.275391
16.16	-0.000065	2.308024
16.68	0.000763	2.310143
17.21	0.002057	2.309866
17.74	0.002486	2.308128
18.27	0.002057	2.309829
18.80	0.001731	2.310495
19.32	0.002515	2.306796
19.85	0.002752	2.310125
20.38	0.002737	2.312419
20.91	0.001850	2.308091
21.44	0.002323	2.308054
21.96	0.001968	2.312752
22.49	0.002841	2.308091
23.02	0.001509	2.302431
23.55	0.001687	2.301543
24.08	0.001998	2.297733
24.60	0.002501	2.291482
25.12	0.000839	2.289276
25.64	0.002121	2.291832
26.16	0.002823	2.291946
26.68	-0.000031	2.291870
27.20	-0.000397	2.289772
27.72	0.000946	2.291069
28.24	0.001785	2.295189
28.76	0.001282	2.296028
29.28	-0.000061	2.293854
29.80	0.000198	2.292099
30.32	0.001602	2.294731
30.84	0.001862	2.296295
31.36	0.001709	2.295418
31.88	0.001022	2.292671
32.40	0.002167	2.290077
32.92	0.002792	2.294273
33.44	0.001831	2.295456
33.96	0.000839	2.295151
34.48	0.000198	2.291222
35.00	0.000992	2.286301
35.52	0.001724	2.284889
36.04	0.002396	2.281761
36.56	0.001709	2.276535
37.08	0.000214	2.271690
37.60	0.002304	2.271309
38.12	0.002838	2.273483
38.64	0.002823	2.275391
39.16	-0.000153	2.272568
39.68	0.000137	2.271690
40.20	0.001419	2.271729
40.72	0.001907	2.273788
41.24	0.000793	2.274704
41.76	-0.000290	2.273521
42.28	-0.000534	2.272186
42.80	0.000412	2.271576
43.32	0.001862	2.274971
43.84	0.002884	2.276039
44.36	0.001968	2.270966
44.88	-0.000839	2.269821
45.40	0.000824	2.266655
45.92	0.002945	2.264748
46.44	0.002762	2.260513
46.96	0.001343	2.254448
47.48	-0.000107	2.250137
48.00	-0.000702	2.248077
48.52	0.001022	2.250748
49.04	0.000839	2.250290
49.56	-0.000168	2.247047
50.08	-0.000916	2.245903
50.60	-0.000366	2.246819
51.12	0.000504	2.249832
51.64	0.001694	2.250595
52.16	0.001068	2.248383
52.68	0.000031	2.246742
53.20	-0.000076	2.248650
53.72	0.000610	2.250290
54.24	0.001663	2.248878
54.76	0.001266	2.247467
55.28	0.000473	2.247009
55.80	-0.000198	2.247581
56.32	0.000427	2.251320
56.84	0.002136	2.251320
57.36	0.000488	2.247543
57.88	-0.000626	2.245789
58.40	-0.000549	2.246857
58.92	0.000870	2.248535
59.44	0.002258	2.243462
59.96	0.002441	2.232399
60.48	0.000580	2.223740
61.00	0.000443	2.219772
61.52	0.001221	2.219810
62.04	0.001984	2.217140
62.56	0.002823	2.212029
63.08	0.002106	2.210083
63.60	0.001236	2.211037
64.12	0.001038	2.213936
64.64	0.002136	2.215042
65.16	0.002716	2.212563
65.68	0.002441	2.210350
66.20	0.001328	2.212067
66.72	0.001053	2.215958
67.24	0.001938	2.216835
67.76	0.002228	2.213554
68.28	0.002472	2.213478
68.80	0.001160	2.214355
69.32	0.000839	2.216682
69.84	0.001740	2.216606
70.36	0.002762	2.212372
70.88	0.002625	2.210503
71.40	0.001801	2.209549
71.92	0.000885	2.211723
72.44	0.001953	2.210541
72.96	0.002869	2.209053
73.48	0.003021	2.211266
74.00	0.001923	2.213593
74.52	0.000931	2.218361
75.04	0.001648	2.217865
75.56	0.002670	2.214928
76.08	0.002838	2.214508
76.60	0.001907	2.213554
77.12	0.000824	2.209129
77.64	0.001801	2.199631
78.16	0.002808	2.190399
78.68	0.003021	2.184677
79.20	0.002106	2.182312
79.72	0.001495	2.183037
80.24	0.001953	2.181015
80.76	0.002991	2.177887
81.28	0.003525	2.178383
81.80	0.002777	2.182198
82.32	0.001923	2.184944
82.84	0.002304	2.181244
83.36	0.002945	2.181244
83.88	0.003906	2.179947
84.40	0.003098	2.185211
84.92	0.002457	2.188568
85.44	0.002304	2.185249
85.96	0.004425	2.169266
86.48	0.022079	2.153931
87.00	0.023758	2.143745
87.52	0.023285	2.135506
88.04	0.022842	2.125664
88.56	0.023636	2.119370
89.08	0.024567	2.116776
89.60	0.024612	2.115974
90.12	0.023865	2.116432
90.64	0.023285	2.113838
91.16	0.024017	2.109604
91.68	0.025208	2.112083
92.20	0.025406	2.113647
92.72	0.024704	2.115250
93.24	0.023758	2.115211
93.76	0.024017	2.111740
94.28	0.025391	2.111740
94.80	0.026047	2.116051
95.32	0.025558	2.117462
95.84	0.024155	2.114182
96.36	0.024307	2.109413
96.88	0.024765	2.112198
97.40	0.025772	2.115784
97.92	0.025482	2.116928
98.44	0.024445	2.112617
98.96	0.024063	2.103729
99.48	0.024994	2.094154
100.00	0.026276	2.088890
100.52	0.025894	2.088165
101.04	0.025009	2.084923
101.56	0.024780	2.081947
102.08	0.025208	2.077751
102.60	0.026443	2.082100
103.12	0.026505	2.084274
103.64	0.025375	2.081604
104.16	0.024567	2.077141
104.68	0.025528	2.076378
105.20	0.025970	2.080917
105.72	0.026993	2.066612
106.24	0.026871	2.039108
106.76	0.027115	2.015572
107.28	0.028732	2.000542
107.80	0.031250	1.989670
108.32	0.033173	1.979370
108.84	0.033051	1.967964
109.36	0.032852	1.956787
109.88	0.033905	1.947708
110.40	0.035889	1.941872
110.92	0.037552	1.935387
111.44	0.037125	1.927490
111.96	0.036667	1.920662
112.48	0.037781	1.914978
113.00	0.039459	1.911964
113.52	0.040192	1.910019
114.04	0.040253	1.903763
114.56	0.039734	1.888809
115.08	0.041061	1.879730
115.60	0.043869	1.872635
116.12	0.046783	1.861000
116.64	0.047729	1.850510
117.16	0.048492	1.842575
117.68	0.049820	1.835709
118.20	0.052704	1.828117
118.72	0.054459	1.818047
119.24	0.055984	1.811142
119.77	0.056458	1.804504
120.29	0.058685	1.799049
120.81	0.058121	1.793709
121.33	0.060150	1.787453
121.85	0.062622	1.782455
122.37	0.062943	1.776199
122.89	0.062469	1.771202
123.41	0.063843	1.767578
123.93	0.066269	1.762810
124.45	0.067154	1.757126
124.97	0.065979	1.750603
125.49	0.066589	1.745491
126.01	0.068985	1.737251
126.53	0.071091	1.727600
127.05	0.071991	1.717110
127.57	0.072815	1.706657
128.09	0.075760	1.695404
128.62	0.077789	1.684456
129.14	0.079819	1.675415
129.66	0.081543	1.668282
130.18	0.081757	1.660843
