#Time (S)	Lockin (mV)	Temp (V)
77.78	0.123047	0.986328
78.30	0.103500	0.981941
78.82	0.104630	0.981865
79.35	0.108147	0.982037
79.88	0.106090	0.981889
80.41	0.103397	0.981186
80.94	0.102421	0.981297
81.46	0.102199	0.980853
81.99	0.104389	0.980558
82.52	0.105868	0.980742
83.05	0.103738	0.980521
83.58	0.107082	0.980003
84.10	0.104093	0.980669
84.63	0.103693	0.979300
85.16	0.104803	0.979300
85.69	0.102687	0.980151
86.22	0.105853	0.979411
86.74	0.104181	0.978782
87.26	0.103897	0.978737
87.78	0.103333	0.977898
88.30	0.105164	0.978050
88.82	0.105057	0.977631
89.34	0.101288	0.976295
89.87	0.100540	0.976944
90.39	0.106995	0.975838
90.91	0.108810	0.974808
91.43	0.103455	0.974693
91.95	0.103745	0.973396
92.47	0.105865	0.973969
92.99	0.105682	0.973549
93.51	0.107407	0.972023
94.03	0.102448	0.972252
94.55	0.105194	0.971451
95.07	0.107819	0.972748
95.59	0.105057	0.972481
96.11	0.109222	0.971107
96.63	0.102386	0.970993
97.15	0.102951	0.970039
97.67	0.106247	0.970726
98.19	0.103668	0.970917
98.71	0.103607	0.969849
99.23	0.105148	0.969276
99.75	0.107391	0.968285
100.27	0.102463	0.967712
100.79	0.106155	0.968819
101.31	0.107315	0.967445
101.83	0.100876	0.966263
102.35	0.103989	0.966911
102.87	0.105988	0.966873
103.39	0.107773	0.966263
103.91	0.101059	0.965424
104.43	0.102844	0.965271
104.95	0.100296	0.965042
105.47	0.102478	0.963707
105.99	0.099121	0.965309
106.51	0.105392	0.963821
107.03	0.106247	0.962257
107.55	0.105347	0.962791
108.07	0.105377	0.961609
108.59	0.107590	0.962677
109.11	0.102448	0.961304
109.63	0.107849	0.960808
110.15	0.108322	0.960503
110.67	0.106537	0.959816
111.19	0.107407	0.960960
111.71	0.105194	0.960884
112.23	0.105850	0.959358
112.75	0.104355	0.959473
113.27	0.101318	0.958061
113.79	0.104797	0.959396
114.31	0.101807	0.958748
114.83	0.103226	0.958252
115.35	0.104477	0.957603
115.87	0.103195	0.956650
116.39	0.107071	0.957985
116.91	0.103928	0.958023
117.43	0.105942	0.956688
117.95	0.104630	0.956001
118.47	0.105621	0.956116
118.99	0.105682	0.956154
119.51	0.109009	0.956917
120.03	0.103760	0.955391
120.55	0.102783	0.955429
121.07	0.108353	0.953484
121.59	0.102249	0.954399
122.11	0.106812	0.955086
122.63	0.108505	0.953369
123.15	0.107697	0.954132
123.67	0.103714	0.952797
124.19	0.107468	0.953751
124.71	0.101440	0.954094
125.23	0.104233	0.951958
125.75	0.105820	0.952721
126.27	0.101730	0.951347
126.79	0.105087	0.951271
127.31	0.104935	0.952377
127.83	0.104324	0.951385
128.35	0.104919	0.950623
128.87	0.104736	0.950813
129.39	0.105759	0.950890
129.91	0.103714	0.950928
130.43	0.103409	0.950127
130.95	0.106735	0.950165
131.47	0.108322	0.949440
131.99	0.105820	0.949211
132.51	0.108322	0.949898
133.03	0.108276	0.948868
133.56	0.105942	0.947838
134.08	0.106140	0.949249
134.60	0.107407	0.947762
135.12	0.105865	0.947304
135.64	0.104752	0.947151
136.16	0.103317	0.948067
136.68	0.104996	0.948105
137.20	0.103271	0.946465
137.73	0.103333	0.947189
138.25	0.106461	0.946579
138.77	0.105408	0.946846
139.29	0.103104	0.946617
139.81	0.104645	0.946503
140.33	0.104797	0.946579
140.85	0.104996	0.946121
141.37	0.106781	0.944786
141.89	0.104721	0.945816
142.41	0.103027	0.944176
142.93	0.102921	0.945091
143.45	0.106735	0.945549
143.97	0.106171	0.945625
144.49	0.104370	0.944519
145.01	0.102539	0.943832
145.54	0.102615	0.944405
146.06	0.107254	0.943680
146.58	0.104111	0.942993
147.10	0.105713	0.944388
147.62	0.105270	0.943260
148.14	0.106796	0.943336
148.66	0.104324	0.943031
149.18	0.101425	0.942154
149.70	0.106171	0.943298
150.22	0.104065	0.942917
150.74	0.106125	0.941772
151.26	0.106384	0.942230
151.78	0.104706	0.940475
152.30	0.108673	0.941315
152.82	0.107452	0.940323
153.35	0.105042	0.941544
153.87	0.104218	0.940895
154.39	0.105103	0.940437
154.91	0.102249	0.940475
155.43	0.107834	0.941696
155.95	0.108597	0.940590
156.47	0.104523	0.939980
156.99	0.104233	0.939751
157.51	0.103928	0.940208
158.03	0.106461	0.940094
158.55	0.102463	0.938797
159.07	0.105377	0.939064
159.59	0.104736	0.939255
160.11	0.103607	0.938339
160.63	0.104721	0.939484
161.15	0.100586	0.939002
161.67	0.106262	0.937767
162.19	0.107132	0.938377
162.71	0.101547	0.938148
163.23	0.106857	0.938377
163.75	0.108704	0.938644
164.27	0.109055	0.937424
164.79	0.109222	0.938187
165.31	0.105453	0.937195
165.83	0.105637	0.937576
166.35	0.107986	0.938187
166.87	0.104858	0.936928
167.39	0.106964	0.936623
167.91	0.105042	0.936356
168.43	0.105728	0.936890
168.95	0.103989	0.937309
169.47	0.101990	0.935822
169.99	0.107346	0.935860
170.52	0.103928	0.935745
171.03	0.102996	0.934980
171.55	0.103851	0.936203
172.07	0.103973	0.935631
172.59	0.099197	0.934868
173.11	0.108954	0.935059
173.63	0.108582	0.934029
174.15	0.109741	0.934715
174.67	0.114502	0.936279
175.19	0.105026	0.934258
175.71	0.108429	0.934105
176.23	0.094086	0.934181
176.75	0.108551	0.934258
177.27	0.110489	0.934753
177.79	0.104111	0.933876
178.31	0.110046	0.933228
178.84	0.114655	0.933418
179.36	0.103363	0.932693
179.88	0.107086	0.933342
180.40	0.108414	0.932617
180.92	0.107635	0.933380
181.44	0.107895	0.933609
181.96	0.106781	0.931358
182.48	0.104950	0.932083
183.00	0.102814	0.931702
183.52	0.109039	0.932159
184.04	0.098648	0.932922
184.56	0.105545	0.931511
185.08	0.102371	0.931396
185.60	0.107483	0.931358
186.12	0.107117	0.929947
186.64	0.107635	0.931892
187.16	0.105179	0.932198
187.68	0.109131	0.930557
188.20	0.109589	0.930634
188.72	0.108383	0.930710
189.24	0.105347	0.931320
189.76	0.108734	0.930939
190.28	0.106308	0.930099
190.80	0.108139	0.929832
191.32	0.109894	0.929909
191.84	0.105499	0.930405
192.36	0.110107	0.928955
192.88	0.112396	0.929031
193.40	0.105423	0.929260
193.93	0.108521	0.929070
194.45	0.105225	0.929680
194.97	0.110977	0.928955
195.49	0.106888	0.927696
196.01	0.110397	0.929756
196.53	0.106796	0.928612
197.06	0.111841	0.929749
197.58	0.108337	0.928421
198.10	0.105331	0.927505
198.62	0.110886	0.927811
199.14	0.104858	0.926590
199.66	0.106293	0.927582
200.18	0.118011	0.928535
200.70	0.111938	0.926514
201.22	0.108398	0.927277
201.74	0.114044	0.926476
202.26	0.107605	0.926895
202.78	0.108917	0.927391
203.30	0.111481	0.926437
203.82	0.110657	0.926056
204.34	0.107544	0.926056
204.86	0.108231	0.926247
205.38	0.105118	0.926666
205.90	0.110046	0.926170
206.42	0.110245	0.925331
206.94	0.109085	0.925407
207.46	0.111465	0.924721
207.98	0.109970	0.926247
208.50	0.107513	0.925179
209.02	0.108810	0.924454
209.54	0.112579	0.925026
210.06	0.107803	0.924606
210.58	0.106262	0.925674
211.10	0.111725	0.923882
211.62	0.108200	0.924950
212.14	0.110901	0.923729
212.66	0.112076	0.925674
213.18	0.109955	0.925255
213.70	0.110901	0.924110
214.22	0.107681	0.923576
214.74	0.109589	0.923767
215.26	0.111954	0.923729
215.78	0.106644	0.924568
216.30	0.109009	0.923615
216.82	0.110855	0.922661
